question,context,ideal_answer,answer,blue score,meteor score,rouge score,SentenceSim score,SimHash score,perplexity score,bleurt score,F1 score,bert score
Identify the odd one out.,"Twitter, Instagram, Telegram",Telegram,Telegram is a messaging app. It is not a social media site.,4.1179404203221037e-237,0.0393700787401574,0.1538461538461538,0.73329705,24,1.8877486253633868,-0.7243770360946655,0.1818181818181818,0.3182650868381773
Explain why the following fraction is equivalent to 1/4,4/16,The fraction 4/16 is equivalent to 1/4 because both numerators and denominators are divisible by 4. Dividing both the top and bottom numbers by 4 yields the fraction 1/4.,4/16 is equivalent to 1/4 because 4/16 is equal to 1/4 because 4/16 is equal to 1/16.,0.1587817429508699,0.3025650866756221,0.4363636363636363,0.9145662,28,29.174016194163634,0.0999602824449539,0.3255813953488372,0.7265955567359924
Evaluate this sentence for spelling and grammar mistakes,He finnished his meal and left the resturant,He finished his meal and left the restaurant.,He finnished his meal and left the resturant,0.4671379777282001,0.7270233196159123,0.75,0.7800889,14,8.23906857562847,-0.3199502229690552,0.7142857142857143,0.6380555900660428
"Classify the following into animals, plants, and minerals","Oak tree, copper ore, elephant","Oak tree: Plant
 Copper ore: Mineral
 Elephant: Animal","animals, plants, minerals, respectively.?",0.0,0.1630434782608695,0.5,0.5982882,23,9.000000000000002,-0.1615672558546066,0.0,0.48718280014064574
Reverse engineer this code to create a new version,"def factorialize(num):
  factorial = 1
  for i in range(1, num):
    factorial *= i
  
  return factorial","def factorialize(num):
  factorial = 1
  for i in range(num, 0, -1):
    factorial *= i
  
  return factorial","def factorialize(num): factorial = 1 for i in range(1, num): factorial *= i return factorial",0.756896227518374,0.9449404761904764,0.967741935483871,0.9761551,3,11.805079717107178,0.8807751536369324,0.8148148148148148,0.971496932208538
Transcribe the recording into text.,Recording about the history of Waterloo,"The Battle of Waterloo, fought on June 18, 1815, was the last major battle of the Napoleonic Wars. It marked the end of Napoleon Bonaparte's rule. The battle was fought between Napoleon Bonaparte's French forces and an allied force of British, Dutch, Belgian and Prussian troops, led by the Duke of Wellington. It was fought near the town of Waterloo in the former Austrian Netherlands, now present-day Belgium. The battle was a defeat for Napoleon's forces and ended Napoleon's rule over France. Napoleon himself was exiled to St. Helena, where he would die in 1821. The battle marked the end of French domination of Europe and the beginning of a period of peace in the region. It was also the last major battle of the Napoleonic Wars and is remembered as one of the most important battles in history. The victory of the allied forces at Waterloo helped to bring an end to French imperial ambitions in Europe. It also established the British as one of the most powerful nations in Europe. The battle was fought with a combination of infantry, cavalry, and artillery tactics, and showed the beginning of the changing nature of warfare. Although the French forces greatly outnumbered the allies, their strategic and tactical mistake led to the loss of the battle. This defeat signaled the end of French imperial power in Europe. The legacy of Waterloo still stands today, and it cemented the British Empire's position for the next one hundred years.",The history of Waterloo is a long and complicated one.,1.5509639445007529e-155,0.15489406294004,0.0610687022900763,0.5272833,29,96.867600079755,-0.9705708026885986,0.055045871559633,0.5256709646094929
Find the area of a circle given its radius.,Radius = 4,"The area of a circle with a radius of 4 is equal to 12.5664 square units. This is calculated by using the formula A = πr2, where A is the area, π is roughly equal to 3.1416 and r is the radius of the circle.","240 sq. ft., or 240 / 4 = 40 sq. ft.",1.0296788793467617e-231,0.1358695652173913,0.037037037037037,0.45798814,32,45.81654322243781,-1.0987550020217896,0.0454545454545454,0.5181585978716612
Rewrite the following sentence using active voice.,The news report was read by the captain.,The captain read the news report.,The captain read the news report.. .,0.7289545183625967,0.8757427021441488,1.0,0.9540179,0,6.270164062730935,0.884882926940918,1.0,0.7195066147380405
Arrange the words in the given sentence to form a grammatically correct sentence.,quickly the brown fox jumped,The quick brown fox jumped quickly.,The brown fox jumped quickly...,0.4347208719449914,0.7934426229508196,0.9090909090909092,0.95554745,17,6.18786183886527,0.8945487141609192,0.888888888888889,0.5432933494448662
Analyze the given text for its tone.,The world has been greatly impacted by the COVID-19 pandemic and it has drastically changed our lives.,The tone of the text is one of concern and recognition of the dramatic effects of the COVID-19 pandemic on the world. It is an acknowledgement of the upheaval that the virus has caused and that our lives have been drastically changed.,a). The world has been greatly impacted by the COVID-19 pandemic and it has drastically changed our lives.,1.989942415095013e-78,0.478969957081545,0.4516129032258064,0.53761375,15,36.96890846766348,-0.0710237473249435,0.4489795918367347,0.7612416927631085
