question,context,ideal_answer,answer,blue score,meteor score,rouge score,SentenceSim score,SimHash score,perplexity score,bleurt score,F1 score
Identify the odd one out.,"Twitter, Instagram, Telegram",Telegram,"out. [SEP] twitter, instagram,",0.0,0.0,0.0,0.32209805,25,2.0,-1.3319075107574463,0.0
Explain why the following fraction is equivalent to 1/4,4/16,The fraction 4/16 is equivalent to 1/4 because both numerators and denominators are divisible by 4. Dividing both the top and bottom numbers by 4 yields the fraction 1/4.,,0.0,0.0,0.0,-0.028715897,24,0.0,-0.865821361541748,0.0
Evaluate this sentence for spelling and grammar mistakes,He finnished his meal and left the resturant,He finished his meal and left the restaurant.,this sentence for spelling and grammar,1.0518351895246305e-231,0.07936507936507937,0.14285714285714288,0.19078515,25,8.825048260298644,-1.2151222229003906,0.15384615384615383
"Classify the following into animals, plants, and minerals","Oak tree, copper ore, elephant","Oak tree: Plant
 Copper ore: Mineral
 Elephant: Animal",,0.0,0.0,0.0,0.043396354,29,0.0,-1.127147912979126,0.0
Reverse engineer this code to create a new version,"def factorialize(num):
  factorial = 1
  for i in range(1, num):
    factorial *= i
  
  return factorial","def factorialize(num):
  factorial = 1
  for i in range(num, 0, -1):
    factorial *= i
  
  return factorial",[CLS] reverse engineer this code to create a new version [SEP] def factor,7.992219124248642e-232,0.027777777777777776,0.06896551724137931,0.39600974,30,16.92090621599489,-1.0316212177276611,0.07692307692307691
Transcribe the recording into text.,Recording about the history of Waterloo,"The Battle of Waterloo, fought on June 18, 1815, was the last major battle of the Napoleonic Wars. It marked the end of Napoleon Bonaparte's rule. The battle was fought between Napoleon Bonaparte's French forces and an allied force of British, Dutch, Belgian and Prussian troops, led by the Duke of Wellington. It was fought near the town of Waterloo in the former Austrian Netherlands, now present-day Belgium. The battle was a defeat for Napoleon's forces and ended Napoleon's rule over France. Napoleon himself was exiled to St. Helena, where he would die in 1821. The battle marked the end of French domination of Europe and the beginning of a period of peace in the region. It was also the last major battle of the Napoleonic Wars and is remembered as one of the most important battles in history. The victory of the allied forces at Waterloo helped to bring an end to French imperial ambitions in Europe. It also established the British as one of the most powerful nations in Europe. The battle was fought with a combination of infantry, cavalry, and artillery tactics, and showed the beginning of the changing nature of warfare. Although the French forces greatly outnumbered the allies, their strategic and tactical mistake led to the loss of the battle. This defeat signaled the end of French imperial power in Europe. The legacy of Waterloo still stands today, and it cemented the British Empire's position for the next one hundred years.",,0.0,0.0,0.0,-0.018951844,25,0.0,-0.9014976024627686,0.0
Find the area of a circle given its radius.,Radius = 4,"The area of a circle with a radius of 4 is equal to 12.5664 square units. This is calculated by using the formula A = πr2, where A is the area, π is roughly equal to 3.1416 and r is the radius of the circle.",of a circle given,1.0483109606816595e-78,0.17647058823529413,0.12244897959183675,0.5980933,21,28.91086133177809,-0.7276509404182434,0.10526315789473684
Rewrite the following sentence using active voice.,The news report was read by the captain.,The captain read the news report.,[CLS] rewrite the following sentence using active voice. [SEP] the news report was read by the,7.721333667955013e-79,0.2175453514739229,0.45454545454545453,0.44121957,26,6.670788451814606,-1.0562374591827393,0.3529411764705882
Arrange the words in the given sentence to form a grammatically correct sentence.,quickly the brown fox jumped,The quick brown fox jumped quickly.,,0.0,0.0,0.0,0.13463683,32,0.0,-0.909935474395752,0.0
Analyze the given text for its tone.,The world has been greatly impacted by the COVID-19 pandemic and it has drastically changed our lives.,The tone of the text is one of concern and recognition of the dramatic effects of the COVID-19 pandemic on the world. It is an acknowledgement of the upheaval that the virus has caused and that our lives have been drastically changed.,,0.0,0.0,0.0,0.15865406,32,0.0,-0.8802487850189209,0.0
Use the given data to calculate the median.,"[2, 3, 7, 8, 10]",The median of the given data is 7.,,0.0,0.0,0.0,0.023608547,37,0.0,-0.8620806932449341,0.0
"Rewrite the given paragraph in a shorter, easier to understand form.","Although it is generally accepted that the internet has allowed us to connect with people all over the world, there are still those people who are not familiar with its basic functions, who don’t understand why it has become so commonplace, or what its true capabilities are.","The internet has allowed us to connect globally, even though some people are unfamiliar with its functions, don't comprehend its widespread use, and don't know its full potential.",,0.0,0.0,0.0,0.04392036,34,0.0,-0.9451985359191895,0.0
Convert the given equation into an algebraic expression.,3x+5y=9,3x + 5y - 9 = 0,5,0.0,0.0,0.0,0.21716078,35,8.0,-0.6435496807098389,0.0
Explain why the given definition is wrong.,A mole is an animal that lives underground.,"The definition is wrong because a mole is actually a small mammal that lives above ground and feeds on insects. It is most distinguishable by its long snout and wide, paddle-like feet. It does, however, often dig burrows in which it lives and shelters.",is,6.851187014592609e-232,0.08474576271186442,0.04347826086956522,0.11380629,35,14.666666666666668,-0.9019083976745605,0.047619047619047616
Write a short paragraph about the given topic.,The importance of using renewable energy,"The use of renewable energy is growing rapidly in relevance and importance as the world looks towards solutions to combat climate change. Renewable energy sources, such as solar, wind, and hydropower, are sustainable and have a much lower environmental impact than traditional energy sources like coal and oil. Switching to renewable energy can reduce carbon emissions, improve air quality, lessen the dependence on non-renewable resources, and provide a stable and secure energy future. Renewable energy is essential for achieving a sustainable future and should be an important part of any country’s energy portfolio.",,0.0,0.0,0.0,-0.042468537,33,0.0,-0.733596682548523,0.0
