question,context,ideal_answer,answer,blue score,meteor score,rouge score,SentenceSim score,SimHash score,perplexity score,bleurt score,F1 score,bert score
Identify the odd one out.,"Twitter, Instagram, Telegram",Telegram,Instagram is a social media platform.. but not a social media platform.,0.0,0.0,0.0,0.16427842,33,2.0,-1.367255926132202,0.0,0.21729381009936333
Explain why the following fraction is equivalent to 1/4,4/16,The fraction 4/16 is equivalent to 1/4 because both numerators and denominators are divisible by 4. Dividing both the top and bottom numbers by 4 yields the fraction 1/4.,The fraction is equivalent to 1/4 because 4/16 is the same as 1/4.,0.1572717609105725,0.6437858609254092,0.5416666666666666,0.95211893,20,26.202987357421268,0.0288869738578796,0.4324324324324324,0.7877664208412171
Evaluate this sentence for spelling and grammar mistakes,He finnished his meal and left the resturant,He finished his meal and left the restaurant.,No answer: (a). He finnished his meal and left the resturant. (b). He finnished his meal and left the resturant. (c). He finnished his meal and left the resturant.,0.0124099140439828,0.1737594262511205,0.3243243243243243,0.59243953,13,8.365514723576696,-1.078803539276123,0.3125,0.5890026390552521
"Classify the following into animals, plants, and minerals","Oak tree, copper ore, elephant","Oak tree: Plant
 Copper ore: Mineral
 Elephant: Animal",minerals..plants..animals..minerals..,0.0,0.180722891566265,0.5,0.50599104,25,9.000000000000002,-0.1486099511384964,0.0,0.618287518620491
Reverse engineer this code to create a new version,"def factorialize(num):
  factorial = 1
  for i in range(1, num):
    factorial *= i
  
  return factorial","def factorialize(num):
  factorial = 1
  for i in range(num, 0, -1):
    factorial *= i
  
  return factorial","def factorialize(num): factorial = 1 for i in range(1, num): factorial *= i return factorial",0.756896227518374,0.9449404761904764,0.967741935483871,0.9761551,3,11.805079717107178,0.8807751536369324,0.8148148148148148,0.971496932208538
Transcribe the recording into text.,Recording about the history of Waterloo,"The Battle of Waterloo, fought on June 18, 1815, was the last major battle of the Napoleonic Wars. It marked the end of Napoleon Bonaparte's rule. The battle was fought between Napoleon Bonaparte's French forces and an allied force of British, Dutch, Belgian and Prussian troops, led by the Duke of Wellington. It was fought near the town of Waterloo in the former Austrian Netherlands, now present-day Belgium. The battle was a defeat for Napoleon's forces and ended Napoleon's rule over France. Napoleon himself was exiled to St. Helena, where he would die in 1821. The battle marked the end of French domination of Europe and the beginning of a period of peace in the region. It was also the last major battle of the Napoleonic Wars and is remembered as one of the most important battles in history. The victory of the allied forces at Waterloo helped to bring an end to French imperial ambitions in Europe. It also established the British as one of the most powerful nations in Europe. The battle was fought with a combination of infantry, cavalry, and artillery tactics, and showed the beginning of the changing nature of warfare. Although the French forces greatly outnumbered the allies, their strategic and tactical mistake led to the loss of the battle. This defeat signaled the end of French imperial power in Europe. The legacy of Waterloo still stands today, and it cemented the British Empire's position for the next one hundred years.",The recording is about the history of Waterloo.,1.4565170889555094e-155,0.1626603390763094,0.0461538461538461,0.38582534,33,89.33540703578866,-0.9974501132965088,0.037037037037037,0.5514321823914846
Find the area of a circle given its radius.,Radius = 4,"The area of a circle with a radius of 4 is equal to 12.5664 square units. This is calculated by using the formula A = πr2, where A is the area, π is roughly equal to 3.1416 and r is the radius of the circle.",4 * 4 = 16 square meters..(16 * 16),9.062324668412784e-232,0.0903614457831325,0.0769230769230769,0.55891573,31,45.55284103285003,-0.8486853837966919,0.097560975609756,0.5325231764997754
Rewrite the following sentence using active voice.,The news report was read by the captain.,The captain read the news report.,The captain read the news report... .,0.7289545183625967,0.8757427021441488,1.0,0.93373656,0,6.270164062730935,0.8649380803108215,1.0,0.7035235464572906
Arrange the words in the given sentence to form a grammatically correct sentence.,quickly the brown fox jumped,The quick brown fox jumped quickly.,The brown fox jumped quickly.. quickly.,0.4238365628278779,0.7120253164556962,0.8333333333333334,0.9748026,15,6.156147950296375,0.8876177072525024,0.8000000000000002,0.684201803472307
Analyze the given text for its tone.,The world has been greatly impacted by the COVID-19 pandemic and it has drastically changed our lives.,The tone of the text is one of concern and recognition of the dramatic effects of the COVID-19 pandemic on the world. It is an acknowledgement of the upheaval that the virus has caused and that our lives have been drastically changed.,negative tone.. negative tone.. negative tone.. negative tone.. negative tone.. negative tone.. negative tone.. negative tone.. negative tone.. negative tone.. negative tone.. negative tone.. negative tone.. negative tone.. negative tone.. negative tone.. negative tone.. negative tone.. negative tone.. negative tone.. negative tone.. negative tone.. negative tone.. negative tone.. negative tone.. negative tone.. negative tone.. negative tone.. negative tone.. negative tone.. negative tone.. negative tone.. negative tone.. negative tone.. negative tone.. negative tone.. negative tone.. negative tone.. negative tone.. negative tone.. negative tone.. negative tone.. negative tone.. negative tone.. negative tone.. negative tone.. negative tone.. negative tone.. negative tone.. negative tone..,6.359021102750366e-233,0.003586800573888,0.0139860139860139,0.27691668,30,43.000000000000185,-0.808643639087677,0.0149253731343283,0.5108353438973426
Use the given data to calculate the median.,"[2, 3, 7, 8, 10]",The median of the given data is 7.,7th place..8th place..,0.0,0.0,0.0,0.2563386,27,9.000000000000002,-0.644758939743042,0.0,0.5260674133896828
"Rewrite the given paragraph in a shorter, easier to understand form.","Although it is generally accepted that the internet has allowed us to connect with people all over the world, there are still those people who are not familiar with its basic functions, who don’t understand why it has become so commonplace, or what its true capabilities are.","The internet has allowed us to connect globally, even though some people are unfamiliar with its functions, don't comprehend its widespread use, and don't know its full potential.","Although it is generally accepted that the internet has allowed us to connect with people all over the world, there are still those people who are not familiar with its basic functions, who don’t understand why it has become so commonplace, or what its true capabilities are.",0.1066055241303463,0.3088307240704501,0.3846153846153846,0.88760066,23,27.346823777705083,-0.1288898736238479,0.3333333333333333,0.7008337029870951
Convert the given equation into an algebraic expression.,3x+5y=9,3x + 5y - 9 = 0,3x+5y=9 is the same as 3x+5y=9,0.0,0.0,0.4285714285714285,0.79909897,18,8.0,-0.4021487832069397,0.0,0.721583194202847
Explain why the given definition is wrong.,A mole is an animal that lives underground.,"The definition is wrong because a mole is actually a small mammal that lives above ground and feeds on insects. It is most distinguishable by its long snout and wide, paddle-like feet. It does, however, often dig burrows in which it lives and shelters.",Mole is an animal that lives in the ground.,3.3183218536431106e-155,0.2857142857142857,0.2592592592592592,0.85535234,33,36.5101450435192,-0.4155615568161011,0.25,0.591246736049652
Write a short paragraph about the given topic.,The importance of using renewable energy,"The use of renewable energy is growing rapidly in relevance and importance as the world looks towards solutions to combat climate change. Renewable energy sources, such as solar, wind, and hydropower, are sustainable and have a much lower environmental impact than traditional energy sources like coal and oil. Switching to renewable energy can reduce carbon emissions, improve air quality, lessen the dependence on non-renewable resources, and provide a stable and secure energy future. Renewable energy is essential for achieving a sustainable future and should be an important part of any country’s energy portfolio.","Renewable energy is a type of energy that is renewable, or can be used to produce energy.",8.565317967639418e-79,0.2707581227436823,0.2321428571428571,0.6825323,18,56.8025807181231,-0.6656671762466431,0.2156862745098039,0.5980952162491647
Summarize the given passage.,"A recent study showed that global climate change is one of the most important challenges facing the world today. The consequences of global warming include rising sea levels, extreme weather events and biodiversity loss. Climate change is caused by human activities such as burning fossil fuels, and if unchecked will have long-term and devastating impacts on the planet.","A recent study revealed that global climate change is one of the world’s most pressing issues. In addition to rising sea levels, extreme weather events and biodiversity loss, it is caused largely by human activities like burning fossil fuels. If left unchecked, climate change will have far-reaching and devastating consequences.",(iii). a). b). c). d).,8.688236592747187e-232,0.099009900990099,0.0350877192982456,0.019776423,28,50.99999999999999,-1.385574460029602,0.0,0.37376447208225727
