Owner,question,ideal_answer,answer,blue score,METEOR score,ROUGE score,meteor score,rouge score,SentenceSim score,SimHash score,perplexity score,bleurt score,F1 score,bert score
Sahil,Which file format supported for ingestion Watson Discovery ?,"json, doc, pdf etc."," Watson Discovery supports the following file formats for ingestion: JSON, CSV, XML, JSON-LD, JSON-LD with RDFa, JSON-LD with Microdata, RDF/XML, Turtle, N3, N-triples, TriG, N-Quads, RDF/JSON, RDF/XML-ABBREV, RDF/XML-QUAD, RDF/XML-TRIPLE, RDF/XML-TRIPLE-ABBREV, RDF/XML-QUAD-ABBREV, RDF/JSON-ABBREV, RDF/JSON-QUAD-ABBREV, RDF/JSON-TRIPLE-ABBREV, RDF/JSON-TRIPLE, RDF/JSON-QUAD, RDF/JSON-TRIPLE-ABBREV, RDF/JSON-QUAD-ABBREV, RDF/JSON-TRI",3.357772899118897e-235,0.06097561,0.0,0.02533783783783784,0.024390243902439022,0.41114262,31,5.000000000000005,-1.0069643259048462,0.04761904761904762,0.45441937431466156
Sahil,How is Watson Discovery accessed?,"Watson Discovery can be accessed through APIs (Application Programming Interfaces) or via the IBM Cloud user interface. Users can interact with Watson Discovery by sending HTTP requests to the REST API using various programming languages such as Python, Java, Node.js, etc. Alternatively, users can also use the IBM Cloud user interface to create and manage Watson Discovery instances, and to access its functionalities."," Watson Discovery is accessed via the Watson Discovery API. The Watson Discovery API is accessed via the Watson Discovery service URL. The service URL is found on the Service credentials section of the instance page within IBM Cloud. The Watson Discovery API is accessed via the Watson Discovery API Key. The API Key is found on the Integrate and deploy section of the Project, within the API Information tab. ",5.321582494698156e-155,0.109148997,0.175,0.21357228090334554,0.27067669172932324,0.8398239,22,45.27801946897122,-0.04135696589946747,0.20512820512820512,0.639744878976376
Sahil,What are the five steps in the Watson Discovery Automated Pipeline.,"The five steps in the Watson Discovery Automated Pipeline are: document ingestion, enrichment, indexing, querying, and analysis.", The five steps in the Watson Discovery Automated Pipeline are as follows: Step 1: The first step is to use Watson Studio to create a project. Step 2: The second step is to use Watson Studio to create a pipeline. Step 3: The third step is to use Watson Studio to create a model. Step 4: The fourth step is to use Watson Studio to train the model. Step 5: The fifth step is to use Watson Studio to deploy the model. ,0.019578850009008882,0.066371681,0.121212121,0.11010174418604651,0.20202020202020202,0.776495,22,17.738432751606627,-0.8030804395675659,0.18823529411764706,0.5831625310964482
Sahil,What are the advantages of using Watson Assistant over traditional chatbots?,"IBM Watson Assistant is built on natural-language understanding (NLU), natural-language processing (NLP), and machine learning (ML) to better understand questions, automate the search for the best answers, and complete the user's intended action.", Watson Assistant is an open-source platform that allows you to build a conversational experience that can be deployed in any channel. It is a platform that allows you to quickly create a virtual assistant with a simple and intuitive interface. It has a set of pre-trained models that allow you to quickly create a chatbot. It is a platform that allows you to create a personalized conversational context for each channel. It is a platform that allows you to create and maintain a conversational context for omnichannel operations. It is a platform that allows you to create a conversational experience that is not a replica of a web portal channel. It is a platform that allows you to create a conversational experience that is not a replica of a web portal channel. It is a platform that allows you to create a conversational experience that is not a replica of a web portal channel. It is a platform that allows you to create a conversational experience that is not a replica of a web portal channel,6.513963075033913e-80,0.08254717,0.153846154,0.026455026455026454,0.06542056074766354,0.6965278,28,33.57910962207597,-0.7000210285186768,0.0782122905027933,0.4747462005913258
Sahil,What types of cloud computing services are available on IBM Cloud?,"IBM Cloud  is a robust suite of advanced data and AI tools, and deep industry expertise to help you on your journey to the cloud. Customers can choose among over 170 products and services covering data, containers, AI and machine learning, IoT, blockchain and more."," a) IaaS, PaaS, and SaaS b) IaaS, PaaS, and DaaS c) IaaS, PaaS, and BaaS d) IaaS, PaaS, and DaaS e) IaaS, PaaS, and SaaS f) IaaS, PaaS, and BaaS g) IaaS, PaaS, and DaaS h) IaaS, PaaS, and BaaS i) IaaS, PaaS, and SaaS j) IaaS, PaaS, and DaaS k) IaaS, PaaS, and BaaS l) IaaS, PaaS, and SaaS m) IaaS, PaaS, and BaaS n) IaaS, PaaS, and DaaS o) Iaa",1.1271002305076023e-155,0.071868583,0.196721311,0.050597976080956765,0.10256410256410255,0.054037176,26,33.49584694757088,-0.7107580900192261,0.08771929824561403,0.37374295841289473
Sahil,What is the Speech to Text API method used to transcribe audio?,The Speech to Text API method used to transcribe audio is the recognize method., The Speech to Text API method is used to transcribe audio. ,0.5149732203257935,0.165945166,0.133333333,0.9146341463414633,0.88,0.94749874,15,12.419932587331768,0.7846222519874573,0.9090909090909091,0.8270575191293444
Sahil,What is the language model helper ?,text file of transcribed audio files used for customization, The language model helper is a tool that helps you to prepare the training data for your speech model. It is a python script that you can run in your terminal. It takes a text file as input and outputs a text file with the same name but with the .lm extension. The input file should be a list of sentences that you want to train your speech model on. The output file is a list of sentences that you can use to train your speech model. The output file is a list of sentences that you can use to train your speech model. The output file is a list of sentences that you can use to train your speech model. The output file is a list of sentences that you can use to train your speech model. The output file is a list of sentences that you can use to train your speech model. The output file is a list of sentences that you can use to train your speech model. The output file is a list of sentences that you can use to train your,6.136558968814903e-164,0.0,0.0,0.016835016835016835,0.06122448979591837,0.46583545,23,9.882377924598222,-1.0000706911087036,0.046511627906976744,0.4404126639664173
Sahil,"What is the name for a container that stores intents, entities, and dialog nodes in Watson Assistant ?","The name for a container that stores intents, entities, and dialog nodes in Watson Assistant is a dialog skill (formerly known as a workspace)"," The Dialog Model is a container that stores intents, entities, and dialog nodes in Watson Assistant . It is used to build a dialog model for a Watson Assistant skill. Dialog Model is a container that stores intents, entities, and dialog nodes in Watson Assistant . It is used to build a dialog model for a Watson Assistant skill. Dialog Model is a container that stores intents, entities, and dialog nodes in Watson Assistant . It is used to build a dialog model for a Watson Assistant skill. Dialog Model is a container that stores intents, entities, and dialog nodes in Watson Assistant . It is used to build a dialog model for a Watson Assistant skill. Dialog Model is a container that stores intents, entities, and dialog nodes in Watson Assistant . It is used to build a dialog model for a Watson Assistant skill. Dialog Model is a container that stores intents, entities, and dialog nodes in Watson Assistant . It is used to build a dialog model for a Watson Assistant skill. Dialog Model is a container",0.0012649739681417304,0.092250923,0.15,0.10588557600109584,0.1919191919191919,0.75928605,21,20.66785436320573,-0.5803928971290588,0.17241379310344832,0.5227822213696792
Sahil,Which special condition is automatically added to the dialog flow when you create a new instance of Watson Assistant?,"When you create a new instance of Watson Assistant, a special condition called ""Anything else"" is automatically added to the dialog flow. This condition is triggered when the user's input does not match any of the defined intents. It can be used to handle unexpected or out-of-context inputs from the user. The ""Anything else"" condition typically responds with a message asking the user to rephrase their input or offering help to guide them to the appropriate response."," conversation_start. The welcome special condition is triggered when the assistant starts the conversation. The conversation_start special condition is triggered when the user starts the conversation. {: #dialog-start-anything-else} The Anything Else node is defined using the anything_else special condition, which is triggered when the assistant, rather than the user, ends the conversation. This happens when the integration or client application ends the session with an empty message and then waits for the assistant to say goodbye, as in the following situations: Preview for the assistant ""Try it out"" pane Web chat integration with home screen disabled However, the Anything Else node is skipped in situations when the user ends the conversation by sending a message, such as with the Slack and Facebook integrations. It is also skipped when using the Web chat integration with the home screen enabled, because in this situation the home screen provides the goodbye. (Note that the home screen is enabled by default.) Ending the conversation gracefully {: #dialog-start-",0.031585043993344386,0.018703242,0.041666667,0.15018007960329693,0.2834008097165992,0.50824016,19,56.431934898555845,-0.45359933376312256,0.23115577889447242,0.6044366004990368
Sahil,What is IBM cloud monitoring?,"The IBM Cloud Monitoring service is a fully managed monitoring service for administrators, DevOps teams and developers. Expect deep container visibility and comprehensive metrics. Reduce cost as you free up DevOps and better manage the software lifecycle."," ] IBM cloud monitoring is a service that provides the ability to monitor your cloud infrastructure and applications. It provides a set of tools to collect, analyze, and visualize metrics and logs. It also provides the ability to set up alerts to notify you when a service is not performing as expected. In addition, it provides the ability to visualize your metrics and logs in dashboards. ] 3. Install the IBM Cloud Kubernetes Service plug-in for your Kubernetes cluster On the dashboard, go to your Kubernetes cluster Overview page. Click Actions and select Install IBM Cloud Kubernetes Service plug-in from the list. Follow the instructions on the Install IBM Cloud Kubernetes Service plug-in page to install the plug-in. The commands and results will look similar to the following example: $ kubectl apply -f PI:KEY.yaml $ kubectl get pods $ kubectl get svc The plug-in installs and starts successfully. 4. Add your monitoring",2.9103833934170217e-156,0.077319588,0.188679245,0.08603308614312136,0.19895287958115182,0.8110725,25,35.55316935606558,-0.6721410155296326,0.18072289156626506,0.5263212417010907
